customer_id,age,state,customer_tenure_months
CUST000128,65,TX,27
CUST000129,53,NY,38
CUST000130,57,NY,166
CUST000131,53,GA,52
CUST000132,52,GA,93
CUST000133,23,FL,177
CUST000134,52,NC,113
CUST000135,67,CA,8
CUST000136,36,NC,65
CUST000137,55,FL,70
CUST000138,19,NY,50
CUST000139,39,NC,44
CUST000140,45,AZ,91
CUST000141,78,GA,68
CUST000142,31,NC,53
CUST000143,35,NY,75
CUST000144,43,TX,62
CUST000145,79,NY,42
CUST000146,70,CA,82
CUST000147,20,FL,170
CUST000148,32,IL,92
CUST000149,68,GA,108
CUST000150,21,TX,178
CUST000151,71,SC,111
CUST000152,35,NY,41
CUST000153,74,VA,72
CUST000154,36,NY,88
CUST000155,44,IL,86
CUST000156,59,IL,27
CUST000157,25,AZ,20
CUST000158,52,SC,63
CUST000159,49,SC,165
CUST000160,66,AZ,130
CUST000161,79,GA,152
CUST000162,59,NC,32
CUST000163,43,VA,75
CUST000164,43,IL,105
CUST000165,43,GA,79
CUST000166,68,NC,76
CUST000167,37,CA,65
CUST000168,28,SC,10
CUST000169,38,GA,155
CUST000170,19,NC,168
CUST000171,24,NY,15
CUST000172,23,FL,75
CUST000173,65,IL,94
CUST000174,62,GA,142
CUST000175,61,VA,178
CUST000176,46,SC,75
CUST000177,62,VA,135
CUST000178,27,FL,169
CUST000179,73,NC,150
CUST000180,49,FL,53
CUST000181,76,IL,148
CUST000182,27,CA,75
CUST000183,48,NY,4
CUST000184,61,IL,137
CUST000185,48,CA,151
CUST000186,45,NY,62
CUST000187,28,IL,82
CUST000188,41,SC,66
CUST000189,32,IL,22
CUST000190,36,VA,180
CUST000191,60,CA,5
CUST000192,57,AZ,101
CUST000193,55,FL,3
CUST000194,40,NC,125
CUST000195,77,GA,163
CUST000196,23,FL,116
CUST000197,39,AZ,110
CUST000198,25,AZ,150
CUST000199,39,TX,176
CUST000200,77,AZ,156
CUST000201,40,FL,42
CUST000202,74,FL,102
CUST000203,48,IL,148
CUST000204,61,NY,54
CUST000205,46,TX,122
CUST000206,34,FL,5
CUST000207,65,CA,158
CUST000208,78,CA,111
CUST000209,34,FL,134
CUST000210,66,NC,149
CUST000211,34,SC,40
CUST000212,62,SC,82
CUST000213,66,FL,155
CUST000214,45,NY,30
CUST000215,63,IL,149
CUST000216,34,VA,52
CUST000217,22,CA,104
CUST000218,23,NY,92
CUST000219,45,NC,124
CUST000220,73,GA,151
CUST000221,25,GA,63
CUST000222,46,IL,31
CUST000223,61,AZ,77
CUST000224,30,IL,111
CUST000225,62,TX,136
CUST000226,36,FL,136
CUST000227,68,GA,62
CUST000228,53,CA,169
CUST000229,51,NC,15
CUST000230,28,VA,22
CUST000231,46,SC,5
CUST000232,71,FL,167
CUST000233,19,VA,33
CUST000234,65,SC,109
CUST000235,48,GA,147
CUST000236,62,IL,139
CUST000237,59,TX,171
CUST000238,44,IL,10
CUST000239,37,AZ,74
CUST000240,56,AZ,92
CUST000241,26,GA,126
CUST000242,54,IL,113
CUST000243,23,AZ,101
CUST000244,58,AZ,56
CUST000245,56,GA,20
CUST000246,23,VA,78
CUST000247,64,TX,47
CUST000248,43,AZ,100
CUST000249,66,AZ,144
CUST000250,20,TX,100
CUST000251,29,SC,105
CUST000252,48,FL,8
CUST000253,29,CA,117
CUST000254,38,TX,80
CUST000255,58,GA,23
CUST000256,26,GA,39
CUST000257,60,NC,141
CUST000258,24,VA,166
CUST000259,28,NY,92
CUST000260,54,VA,176
CUST000261,67,AZ,33
CUST000262,28,NC,54
CUST000263,36,TX,168
CUST000264,75,FL,32
CUST000265,79,IL,119
CUST000266,54,IL,40
CUST000267,45,TX,60
CUST000268,39,NY,86
CUST000269,55,NY,65
CUST000270,54,TX,158
CUST000271,36,SC,176
CUST000272,19,FL,91
CUST000273,27,VA,95
CUST000274,77,FL,10
CUST000275,43,NY,43
CUST000276,47,VA,8
CUST000277,46,VA,155
CUST000278,66,IL,41
CUST000279,22,GA,62
CUST000280,23,SC,152
CUST000281,35,CA,129
CUST000282,48,CA,112
CUST000283,59,IL,7
CUST000284,48,CA,102
CUST000285,45,AZ,101
CUST000286,76,TX,58
CUST000287,27,VA,135
CUST000288,53,IL,168
CUST000289,51,VA,47
CUST000290,47,VA,60
CUST000291,68,IL,59
CUST000292,34,IL,151
CUST000293,77,GA,14
CUST000294,38,CA,162
CUST000295,51,AZ,140
CUST000296,50,CA,88
CUST000297,70,NC,106
CUST000298,45,NY,161
CUST000299,35,SC,139
CUST000300,19,IL,50
CUST000301,40,NC,10
CUST000302,69,AZ,119
CUST000303,18,SC,27
CUST000304,73,FL,16
CUST000305,51,VA,177
CUST000306,26,IL,86
CUST000307,36,GA,118
CUST000308,52,CA,40
CUST000309,37,NC,19
CUST000310,24,FL,12
CUST000311,59,AZ,64
CUST000312,59,AZ,1
CUST000313,25,VA,76
CUST000314,35,GA,59
CUST000315,33,FL,95
CUST000316,58,TX,107
CUST000317,63,TX,56
CUST000318,63,SC,82
CUST000319,76,CA,15
CUST000320,65,VA,55
CUST000321,37,GA,177
CUST000322,24,IL,179
CUST000323,56,NY,88
CUST000324,74,GA,170
CUST000325,78,AZ,91
CUST000326,32,GA,23
CUST000327,32,TX,157
CUST000328,20,VA,75
CUST000329,26,SC,111
CUST000330,52,FL,117
CUST000331,51,TX,56
CUST000332,40,IL,133
CUST000333,37,GA,91
CUST000334,69,IL,66
CUST000335,46,NY,54
CUST000336,68,NC,135
CUST000337,77,CA,45
CUST000338,37,TX,23
CUST000339,30,GA,159
CUST000340,77,FL,60
CUST000341,57,GA,116
CUST000342,36,NY,129
CUST000343,56,TX,151
CUST000344,49,FL,113
CUST000345,74,VA,128
CUST000346,33,GA,151
CUST000347,79,FL,170
CUST000348,76,FL,9
CUST000349,29,GA,134
CUST000350,28,TX,32
CUST000351,51,VA,161
CUST000352,20,TX,9
CUST000353,36,SC,45
CUST000354,44,FL,35
CUST000355,78,CA,109
CUST000356,79,IL,1
CUST000357,27,NY,4
CUST000358,73,CA,91
CUST000359,23,NC,175
CUST000360,64,GA,96
CUST000361,70,NY,81
CUST000362,73,IL,119
CUST000363,31,TX,100
CUST000364,73,IL,70
CUST000365,25,VA,106
CUST000366,50,SC,1
CUST000367,47,NC,45
CUST000368,37,TX,122
CUST000369,19,NY,62
CUST000370,65,VA,10
CUST000371,38,CA,23
CUST000372,59,CA,156
CUST000373,43,GA,60
CUST000374,41,VA,5
CUST000375,72,CA,132
CUST000376,23,NY,96
CUST000377,63,SC,82
CUST000378,64,VA,162
CUST000379,41,FL,57
CUST000380,34,TX,104
CUST000381,18,SC,135
CUST000382,76,AZ,110
CUST000383,76,GA,38
CUST000384,32,GA,123
CUST000385,19,NC,134
CUST000386,25,IL,23
CUST000387,22,VA,30
CUST000388,69,AZ,122
CUST000389,73,FL,22
CUST000390,27,IL,159
CUST000391,64,SC,20
CUST000392,29,SC,176
CUST000393,40,IL,121
CUST000394,55,IL,80
CUST000395,62,TX,49
CUST000396,72,NC,63
CUST000397,20,AZ,135
CUST000398,30,GA,136
CUST000399,35,AZ,38
CUST000400,37,IL,98
CUST000401,79,IL,179
CUST000402,66,NY,47
CUST000403,37,NY,125
CUST000404,78,TX,31
CUST000405,48,NC,151
CUST000406,49,GA,31
CUST000407,44,CA,54
CUST000408,26,IL,83
CUST000409,75,TX,67
CUST000410,18,CA,31
CUST000411,28,NC,116
CUST000412,32,FL,4
CUST000413,35,TX,178
CUST000414,26,IL,10
CUST000415,19,GA,61
CUST000416,60,VA,168
CUST000417,78,GA,28
CUST000418,25,SC,14
CUST000419,36,TX,134
CUST000420,49,NY,14
CUST000421,75,IL,162
CUST000422,61,AZ,82
CUST000423,65,NC,157
CUST000424,54,VA,45
CUST000425,43,GA,26
CUST000426,30,VA,174
CUST000427,71,IL,138
CUST000428,67,SC,164
CUST000429,19,NC,58
CUST000430,62,IL,73
CUST000431,23,AZ,104
CUST000432,63,VA,81
CUST000433,69,GA,44
CUST000434,26,TX,68
CUST000435,44,TX,110
CUST000436,25,AZ,7
CUST000437,53,FL,61
CUST000438,75,NC,53
CUST000439,23,FL,13
CUST000440,42,TX,23
CUST000441,78,TX,90
CUST000442,36,TX,19
CUST000443,26,AZ,63
CUST000444,48,IL,101
CUST000445,49,VA,158
CUST000446,59,GA,18
CUST000447,37,NY,79
CUST000448,77,FL,19
CUST000449,50,FL,78
CUST000450,35,SC,87
CUST000451,77,VA,144
CUST000452,75,CA,80
CUST000453,48,IL,169
CUST000454,19,CA,25
CUST000455,55,GA,10
CUST000456,52,SC,1
CUST000457,27,SC,65
CUST000458,57,GA,35
CUST000459,70,TX,17
CUST000460,24,IL,43
CUST000461,62,IL,176
CUST000462,26,NC,145
CUST000463,64,CA,4
CUST000464,43,VA,165
CUST000465,18,SC,37
CUST000466,77,TX,74
CUST000467,28,NC,59
CUST000468,54,GA,73
CUST000469,29,TX,137
CUST000470,75,VA,129
CUST000471,63,TX,107
CUST000472,67,FL,113
CUST000473,44,CA,131
CUST000474,46,SC,34
CUST000475,57,NC,72
CUST000476,66,TX,20
CUST000477,70,VA,127
CUST000478,19,CA,79
CUST000479,59,NC,115
CUST000480,24,TX,102
CUST000481,35,AZ,50
CUST000482,69,NC,25
CUST000483,33,GA,176
CUST000484,67,IL,53
CUST000485,46,TX,20
CUST000486,32,SC,56
CUST000487,38,VA,163
CUST000488,50,CA,48
CUST000489,65,IL,178
CUST000490,55,GA,83
CUST000491,75,FL,156
CUST000492,71,CA,118
CUST000493,64,SC,8
CUST000494,55,VA,92
CUST000495,35,CA,76
CUST000496,43,SC,37
CUST000497,25,CA,99
CUST000498,41,FL,19
CUST000499,75,AZ,126
CUST000500,44,NC,148
CUST000501,25,AZ,17
CUST000502,58,VA,87
CUST000503,77,NC,118
CUST000504,71,CA,12
CUST000505,34,TX,71
CUST000506,46,IL,47
CUST000507,50,SC,8
CUST000508,33,NC,145
CUST000509,34,TX,81
CUST000510,32,IL,136
CUST000511,79,FL,106
CUST000512,64,CA,158
CUST000513,70,AZ,180
CUST000514,68,IL,109
CUST000515,77,TX,64
CUST000516,24,NY,77
CUST000517,72,TX,149
CUST000518,22,NY,77
CUST000519,47,TX,94
CUST000520,54,TX,35
CUST000521,40,FL,179
CUST000522,27,NY,118
CUST000523,29,CA,60
CUST000524,69,AZ,106
CUST000525,37,NY,73
CUST000526,37,SC,28
CUST000527,75,TX,158
CUST000528,26,GA,160
CUST000529,74,NC,151
CUST000530,75,NC,67
CUST000531,55,TX,47
CUST000532,28,AZ,9
CUST000533,27,TX,132
CUST000534,35,FL,60
CUST000535,53,NC,161
CUST000536,27,NY,157
CUST000537,46,NC,24
CUST000538,25,IL,166
CUST000539,51,IL,26
CUST000540,19,AZ,89
CUST000541,61,VA,86
CUST000542,21,SC,173
CUST000543,30,VA,119
CUST000544,28,CA,158
CUST000545,69,VA,108
CUST000546,21,IL,149
CUST000547,44,SC,154
CUST000548,54,NC,155
CUST000549,49,VA,75
CUST000550,60,CA,69
CUST000551,67,NY,178
CUST000552,42,GA,137
CUST000553,69,NY,166
CUST000554,37,NY,104
CUST000555,79,TX,168
CUST000556,49,TX,130
CUST000557,63,SC,134
CUST000558,72,VA,33
CUST000559,67,TX,103
CUST000560,70,SC,132
CUST000561,51,FL,137
CUST000562,20,SC,173
CUST000563,48,CA,59
CUST000564,29,SC,55
CUST000565,73,NC,175
CUST000566,32,NY,178
CUST000567,32,VA,33
CUST000568,33,GA,69
CUST000569,57,GA,171
CUST000570,53,VA,36
CUST000571,76,CA,141
CUST000572,43,NY,21
CUST000573,35,VA,33
CUST000574,21,NY,142
CUST000575,18,CA,110
CUST000576,41,TX,100
CUST000577,75,TX,155
CUST000578,50,AZ,56
CUST000579,73,FL,91
CUST000580,24,GA,110
CUST000581,23,TX,134
CUST000582,69,IL,60
CUST000583,24,CA,115
CUST000584,21,NC,81
CUST000585,43,FL,98
CUST000586,75,CA,156
CUST000587,60,VA,71
CUST000588,24,AZ,121
CUST000589,69,IL,170
CUST000590,70,IL,138
CUST000591,67,NC,178
CUST000592,73,TX,106
CUST000593,32,TX,51
CUST000594,78,NY,179
CUST000595,37,IL,117
CUST000596,67,GA,44
CUST000597,53,TX,58
CUST000598,66,NY,48
CUST000599,56,CA,151
CUST000600,57,CA,17
CUST000601,56,GA,134
CUST000602,66,AZ,100
CUST000603,63,NC,14
CUST000604,26,FL,111
CUST000605,69,NY,136
CUST000606,51,NC,131
CUST000607,38,FL,96
CUST000608,49,TX,61
CUST000609,77,NY,30
CUST000610,71,SC,3
CUST000611,69,VA,65
CUST000612,46,VA,114
CUST000613,66,NY,7
CUST000614,41,GA,180
CUST000615,60,TX,106
CUST000616,57,CA,54
CUST000617,33,CA,174
CUST000618,34,SC,34
CUST000619,21,AZ,173
CUST000620,26,SC,51
CUST000621,44,NC,69
CUST000622,47,NC,77
CUST000623,28,VA,180
CUST000624,43,IL,46
CUST000625,55,VA,176
CUST000626,32,NY,63
CUST000627,38,FL,52
CUST000628,40,NC,115
CUST000629,49,FL,125
CUST000630,40,NC,63
CUST000631,63,FL,25
CUST000632,38,TX,72
CUST000633,44,TX,98
CUST000634,41,VA,8
CUST000635,29,CA,15
CUST000636,60,TX,166
CUST000637,32,VA,7
CUST000638,36,FL,74
CUST000639,67,SC,138
CUST000640,76,AZ,60
CUST000641,59,CA,90
CUST000642,74,VA,16
CUST000643,70,NY,143
CUST000644,47,NY,115
CUST000645,65,NY,154
CUST000646,38,NC,156
CUST000647,46,IL,64
CUST000648,51,AZ,8
CUST000649,77,AZ,63
CUST000650,70,AZ,27
CUST000651,48,AZ,96
CUST000652,58,CA,27
CUST000653,30,NC,166
CUST000654,67,FL,109
CUST000655,52,VA,46
CUST000656,51,VA,166
CUST000657,65,IL,139
CUST000658,57,IL,79
CUST000659,22,TX,27
CUST000660,35,CA,62
CUST000661,28,SC,106
CUST000662,63,VA,138
CUST000663,20,IL,48
CUST000664,30,FL,134
CUST000665,55,TX,51
CUST000666,61,FL,45
CUST000667,49,VA,81
CUST000668,71,IL,29
CUST000669,74,CA,73
CUST000670,26,NY,65
CUST000671,77,GA,51
CUST000672,56,NY,140
CUST000673,57,AZ,60
CUST000674,23,NY,126
CUST000675,56,FL,130
CUST000676,62,VA,120
CUST000677,54,TX,49
CUST000678,23,GA,150
CUST000679,50,NY,43
CUST000680,76,NC,50
CUST000681,62,SC,158
CUST000682,26,CA,62
CUST000683,77,GA,126
CUST000684,77,FL,8
CUST000685,28,TX,111
CUST000686,67,FL,157
CUST000687,43,CA,128
CUST000688,54,VA,105
CUST000689,45,CA,153
CUST000690,66,VA,54
CUST000691,79,GA,68
CUST000692,67,TX,13
CUST000693,75,IL,126
CUST000694,76,VA,131
CUST000695,23,TX,136
CUST000696,33,NC,135
CUST000697,62,NC,23
CUST000698,54,CA,120
CUST000699,21,CA,138
CUST000700,23,GA,37
CUST000701,50,NY,86
CUST000702,56,GA,165
CUST000703,28,VA,75
CUST000704,28,FL,136
CUST000705,26,GA,96
CUST000706,53,IL,119
CUST000707,18,FL,113
CUST000708,53,GA,118
CUST000709,47,TX,141
CUST000710,46,CA,163
CUST000711,60,VA,54
CUST000712,50,AZ,168
CUST000713,63,FL,114
CUST000714,65,NY,108
CUST000715,75,AZ,59
CUST000716,67,FL,76
CUST000717,50,SC,118
CUST000718,48,CA,66
CUST000719,32,NC,52
CUST000720,55,FL,148
CUST000721,26,AZ,75
CUST000722,75,FL,117
CUST000723,70,NY,6
CUST000724,25,TX,14
CUST000725,66,VA,153
CUST000726,25,GA,26
CUST000727,62,TX,144
CUST000728,23,SC,163
CUST000729,48,FL,87
CUST000730,58,FL,160
CUST000731,63,IL,77
CUST000732,43,SC,172
CUST000733,75,IL,43
CUST000734,66,FL,78
CUST000735,30,NY,71
CUST000736,59,TX,142
CUST000737,63,VA,8
CUST000738,38,AZ,150
CUST000739,63,VA,5
CUST000740,73,NC,57
CUST000741,68,CA,108
CUST000742,65,NY,27
CUST000743,57,IL,89
CUST000744,34,FL,180
CUST000745,67,NC,149
CUST000746,40,NC,6
CUST000747,50,FL,107
CUST000748,37,VA,108
CUST000749,37,AZ,13
CUST000750,27,SC,118
CUST000751,77,IL,94
CUST000752,27,VA,123
CUST000753,23,SC,54
CUST000754,76,VA,47
CUST000755,52,SC,133
CUST000756,45,FL,130
CUST000757,63,GA,30
CUST000758,41,TX,39
CUST000759,25,TX,106
CUST000760,63,NC,150
CUST000761,28,SC,37
CUST000762,52,SC,40
CUST000763,76,SC,146
CUST000764,76,NC,126
CUST000765,40,GA,163
CUST000766,66,TX,142
CUST000767,55,GA,172
CUST000768,47,GA,35
CUST000769,26,FL,49
CUST000770,41,TX,43
CUST000771,58,GA,10
CUST000772,79,VA,141
CUST000773,18,FL,120
CUST000774,62,NC,16
CUST000775,70,FL,36
CUST000776,76,AZ,35
CUST000777,44,GA,73
CUST000778,25,SC,82
CUST000779,34,CA,53
CUST000780,70,SC,168
CUST000781,72,SC,39
CUST000782,57,SC,102
CUST000783,25,IL,79
CUST000784,25,AZ,70
CUST000785,47,TX,149
CUST000786,54,NY,177
CUST000787,20,NY,2
CUST000788,60,NY,84
CUST000789,51,TX,22
CUST000790,18,AZ,79
CUST000791,23,CA,112
CUST000792,46,NC,75
CUST000793,62,GA,56
CUST000794,69,AZ,57
CUST000795,44,FL,54
CUST000796,36,VA,59
CUST000797,78,IL,68
CUST000798,46,NY,124
CUST000799,37,TX,18
CUST000800,45,FL,8
CUST000801,18,SC,94
CUST000802,36,GA,123
CUST000803,49,FL,47
CUST000804,74,AZ,37
CUST000805,63,GA,113
CUST000806,66,SC,70
CUST000807,51,FL,133
CUST000808,24,AZ,27
CUST000809,42,FL,22
CUST000810,79,GA,100
CUST000811,20,NY,71
CUST000812,72,NY,132
CUST000813,60,VA,92
CUST000814,35,AZ,64
CUST000815,66,TX,29
CUST000816,69,NC,30
CUST000817,20,FL,137
CUST000818,24,AZ,41
CUST000819,59,GA,91
CUST000820,79,TX,148
CUST000821,19,NY,162
CUST000822,59,CA,49
CUST000823,26,IL,20
CUST000824,58,SC,140
CUST000825,56,TX,124
CUST000826,23,TX,60
CUST000827,60,SC,107
CUST000828,73,NY,34
CUST000829,71,SC,127
CUST000830,19,FL,131
CUST000831,33,GA,54
CUST000832,32,SC,85
CUST000833,46,IL,61
CUST000834,26,VA,6
CUST000835,70,VA,23
CUST000836,66,IL,173
CUST000837,68,IL,83
CUST000838,30,NC,27
CUST000839,18,VA,8
CUST000840,74,CA,64
CUST000841,35,CA,177
CUST000842,58,AZ,70
CUST000843,74,TX,180
CUST000844,20,NC,89
CUST000845,18,IL,138
CUST000846,18,SC,142
CUST000847,27,SC,6
CUST000848,21,NY,2
CUST000849,68,NY,167
CUST000850,55,NC,168
CUST000851,78,SC,24
CUST000852,67,TX,117
CUST000853,77,VA,167
CUST000854,32,NY,172
CUST000855,35,FL,54
CUST000856,70,TX,148
CUST000857,33,FL,117
CUST000858,21,GA,168
CUST000859,59,GA,27
CUST000860,67,NY,109
CUST000861,78,TX,5
CUST000862,75,TX,65
CUST000863,25,TX,3
CUST000864,65,VA,80
CUST000865,70,AZ,146
CUST000866,61,TX,119
CUST000867,68,CA,58
CUST000868,69,IL,77
CUST000869,45,AZ,67
CUST000870,20,NY,132
CUST000871,46,CA,48
CUST000872,30,FL,17
CUST000873,25,CA,92
CUST000874,25,GA,150
CUST000875,61,CA,86
CUST000876,49,NC,37
CUST000877,51,AZ,9
CUST000878,64,VA,170
CUST000879,51,NY,137
CUST000880,57,NC,28
CUST000881,23,SC,14
CUST000882,70,AZ,24
CUST000883,45,IL,68
CUST000884,27,VA,147
CUST000885,68,SC,29
CUST000886,63,IL,148
CUST000887,21,AZ,1
CUST000888,29,SC,133
CUST000889,18,NY,51
CUST000890,34,VA,173
CUST000891,24,CA,86
CUST000892,62,FL,49
CUST000893,50,SC,44
CUST000894,78,GA,149
CUST000895,64,TX,73
CUST000896,55,CA,64
CUST000897,49,NC,133
CUST000898,21,AZ,97
CUST000899,22,NY,120
CUST000900,56,IL,81
CUST000901,18,AZ,12
CUST000902,20,SC,2
CUST000903,31,NC,8
CUST000904,72,CA,104
CUST000905,46,SC,93
CUST000906,61,SC,135
CUST000907,43,FL,162
CUST000908,28,AZ,32
CUST000909,41,CA,173
CUST000910,23,TX,168
CUST000911,65,SC,111
CUST000912,29,GA,96
CUST000913,41,NY,32
CUST000914,78,SC,33
CUST000915,54,TX,4
CUST000916,46,NC,117
CUST000917,51,GA,78
CUST000918,66,VA,35
CUST000919,33,NY,25
CUST000920,57,AZ,12
CUST000921,72,SC,116
CUST000922,53,CA,124
CUST000923,45,NY,114
CUST000924,26,AZ,20
CUST000925,33,AZ,8
CUST000926,76,SC,20
CUST000927,51,CA,136
CUST000928,36,TX,134
CUST000929,43,SC,54
CUST000930,53,VA,10
CUST000931,51,AZ,58
CUST000932,61,TX,146
CUST000933,33,GA,26
CUST000934,58,GA,144
CUST000935,45,IL,84
CUST000936,76,VA,26
CUST000937,27,SC,169
CUST000938,27,TX,94
CUST000939,46,AZ,121
CUST000940,49,SC,18
CUST000941,60,VA,67
CUST000942,43,FL,114
CUST000943,74,SC,117
CUST000944,47,NY,12
CUST000945,26,VA,109
CUST000946,25,SC,171
CUST000947,78,VA,142
CUST000948,26,AZ,38
CUST000949,76,AZ,165
CUST000950,35,TX,123
CUST000951,23,FL,11
CUST000952,36,IL,24
CUST000953,56,SC,166
CUST000954,44,NY,38
CUST000955,66,NY,18
CUST000956,55,CA,82
CUST000957,42,VA,95
CUST000958,57,CA,104
CUST000959,78,NY,119
CUST000960,43,IL,180
CUST000961,27,SC,137
CUST000962,43,NY,5
CUST000963,70,IL,16
CUST000964,31,VA,1
CUST000965,76,CA,72
CUST000966,54,NC,64
CUST000967,55,CA,169
CUST000968,37,NY,66
CUST000969,75,SC,6
CUST000970,20,NC,160
CUST000971,36,CA,47
CUST000972,43,VA,165
CUST000973,47,FL,140
CUST000974,47,NC,159
CUST000975,27,AZ,148
CUST000976,31,TX,26
CUST000977,23,AZ,113
CUST000978,53,SC,75
CUST000979,39,VA,114
CUST000980,53,NY,135
CUST000981,54,NY,91
CUST000982,61,CA,57
CUST000983,51,AZ,165
CUST000984,58,IL,120
CUST000985,54,SC,160
CUST000986,58,GA,43
CUST000987,56,AZ,151
CUST000988,37,TX,59
CUST000989,33,IL,83
CUST000990,66,TX,155
CUST000991,39,NC,64
CUST000992,52,FL,46
CUST000993,30,IL,165
CUST000994,44,NY,174
CUST000995,50,SC,56
CUST000996,56,VA,56
CUST000997,50,IL,41
CUST000998,40,AZ,5
CUST000999,77,CA,100
CUST001000,49,NC,46
CUST001001,68,NY,153
CUST001002,63,IL,31
CUST001003,52,NY,115
CUST001004,72,TX,92
CUST001005,25,FL,111
CUST001006,75,VA,21
CUST001007,70,VA,84
CUST001008,49,CA,113
CUST001009,63,NC,62
CUST001010,50,NC,158
CUST001011,34,GA,96
CUST001012,67,CA,66
CUST001013,33,NY,6
CUST001014,37,TX,31
CUST001015,50,TX,86
CUST001016,69,SC,73
CUST001017,41,GA,157
CUST001018,48,NC,142
CUST001019,20,CA,29
CUST001020,25,CA,107
CUST001021,21,VA,82
CUST001022,22,VA,19
CUST001023,71,GA,120
CUST001024,70,IL,97
CUST001025,68,FL,16
CUST001026,21,CA,85
CUST001027,22,FL,132
CUST001028,35,NY,59
CUST001029,53,TX,65
CUST001030,38,VA,20
CUST001031,48,IL,37
CUST001032,28,CA,177
CUST001033,63,CA,112
CUST001034,37,AZ,32
CUST001035,22,VA,87
CUST001036,64,NC,35
CUST001037,73,TX,80
CUST001038,18,GA,27
CUST001039,45,FL,112
CUST001040,69,VA,103
CUST001041,61,GA,115
CUST001042,71,GA,80
CUST001043,43,GA,52
CUST001044,41,CA,45
CUST001045,61,TX,39
CUST001046,27,FL,78
CUST001047,32,SC,82
CUST001048,55,TX,122
CUST001049,59,SC,10
CUST001050,25,GA,51
CUST001051,49,FL,154
CUST001052,40,SC,165
CUST001053,49,GA,168
CUST001054,77,VA,56
CUST001055,22,IL,25
CUST001056,79,IL,36
CUST001057,45,NC,24
CUST001058,65,NY,172
CUST001059,44,NY,160
CUST001060,37,GA,146
CUST001061,65,FL,132
CUST001062,60,CA,62
CUST001063,26,GA,86
CUST001064,61,NC,152
CUST001065,64,GA,147
CUST001066,42,VA,94
