account_id,customer_id,account_type,balance
ACC0000121,CUST000636,savings,19672.77
ACC0000122,CUST004310,checking,5159.6
ACC0000123,CUST002070,checking,2805.27
ACC0000124,CUST001610,checking,386.62
ACC0000125,CUST000825,checking,1353.36
ACC0000126,CUST000969,checking,907.09
ACC0000127,CUST000770,checking,11738.41
ACC0000128,CUST000064,savings,1399.31
ACC0000129,CUST001392,checking,5772.92
ACC0000130,CUST001981,savings,5332.49
ACC0000131,CUST004729,checking,3980.89
ACC0000132,CUST003033,checking,881.8
ACC0000133,CUST003801,credit_card,7455.6
ACC0000134,CUST002833,checking,3157.4
ACC0000135,CUST004004,savings,885.6
ACC0000136,CUST004395,checking,1511.61
ACC0000137,CUST004493,savings,1883.77
ACC0000138,CUST004139,checking,3182.22
ACC0000139,CUST003472,checking,1710.59
ACC0000140,CUST002483,checking,1554.3
ACC0000141,CUST000855,checking,2906.12
ACC0000142,CUST000614,checking,6939.13
ACC0000143,CUST004694,savings,1152.47
ACC0000144,CUST002503,credit_card,1979.01
ACC0000145,CUST004051,checking,4202.88
ACC0000146,CUST004598,checking,1918.62
ACC0000147,CUST000381,savings,24155.19
ACC0000148,CUST004405,credit_card,3751.2
ACC0000149,CUST001414,credit_card,2399.02
ACC0000150,CUST003371,savings,2093.57
ACC0000151,CUST002295,savings,5963.15
ACC0000152,CUST003295,savings,3341.81
ACC0000153,CUST002447,checking,4550.51
ACC0000154,CUST004146,credit_card,967.84
ACC0000155,CUST004720,savings,5083.09
ACC0000156,CUST003436,checking,2367.13
ACC0000157,CUST002066,checking,1294.38
ACC0000158,CUST003121,credit_card,145.13
ACC0000159,CUST000829,savings,571.65
ACC0000160,CUST002009,credit_card,2903.0
ACC0000161,CUST003718,checking,13302.71
ACC0000162,CUST001998,credit_card,1655.72
ACC0000163,CUST004984,checking,4838.67
ACC0000164,CUST002432,checking,2173.35
ACC0000165,CUST004406,checking,5438.77
ACC0000166,CUST004409,credit_card,876.35
ACC0000167,CUST001165,checking,512.17
ACC0000168,CUST003208,checking,682.76
ACC0000169,CUST004750,checking,2061.95
ACC0000170,CUST004128,credit_card,363.81
ACC0000171,CUST002438,credit_card,684.02
ACC0000172,CUST002514,checking,21661.22
ACC0000173,CUST003976,savings,7137.75
ACC0000174,CUST002683,savings,2327.76
ACC0000175,CUST002711,credit_card,1355.35
ACC0000176,CUST003494,checking,3895.46
ACC0000177,CUST004938,checking,6569.38
ACC0000178,CUST003473,savings,1490.0
ACC0000179,CUST002519,credit_card,436.45
ACC0000180,CUST001098,checking,2221.99
ACC0000181,CUST001450,savings,3622.83
ACC0000182,CUST004635,checking,2592.93
ACC0000183,CUST004194,checking,8252.95
ACC0000184,CUST001124,checking,6971.59
ACC0000185,CUST001790,checking,9210.16
ACC0000186,CUST003291,checking,5443.13
ACC0000187,CUST003192,credit_card,3574.71
ACC0000188,CUST001812,savings,4530.25
ACC0000189,CUST003523,savings,899.59
ACC0000190,CUST001408,checking,2679.21
ACC0000191,CUST004484,savings,924.3
ACC0000192,CUST004967,credit_card,1022.55
ACC0000193,CUST001356,checking,6504.54
ACC0000194,CUST003398,checking,1876.5
ACC0000195,CUST002777,credit_card,2303.03
ACC0000196,CUST001417,credit_card,5167.91
ACC0000197,CUST003152,savings,862.93
ACC0000198,CUST003636,savings,3001.0
ACC0000199,CUST002542,savings,4115.95
ACC0000200,CUST003764,credit_card,31522.45
ACC0000201,CUST004748,checking,705.38
ACC0000202,CUST001815,checking,249.32
ACC0000203,CUST001807,savings,5984.75
ACC0000204,CUST004666,checking,7517.88
ACC0000205,CUST003965,checking,1122.81
ACC0000206,CUST004848,savings,6368.18
ACC0000207,CUST003812,savings,3087.63
ACC0000208,CUST001328,credit_card,778.2
ACC0000209,CUST002848,checking,6471.48
ACC0000210,CUST003654,checking,5245.38
ACC0000211,CUST001839,credit_card,1901.04
ACC0000212,CUST001010,credit_card,2840.68
ACC0000213,CUST003667,credit_card,6900.35
ACC0000214,CUST001093,checking,10006.58
ACC0000215,CUST004837,savings,1164.06
ACC0000216,CUST003864,savings,5156.41
ACC0000217,CUST004011,checking,3111.32
ACC0000218,CUST004727,checking,1857.5
ACC0000219,CUST004597,checking,3440.33
ACC0000220,CUST002480,credit_card,3002.69
ACC0000221,CUST001835,savings,9380.06
ACC0000222,CUST001571,checking,3019.1
ACC0000223,CUST003626,credit_card,3705.14
ACC0000224,CUST001412,checking,819.75
ACC0000225,CUST003511,savings,1457.18
ACC0000226,CUST002269,savings,1479.58
ACC0000227,CUST001153,checking,628.26
ACC0000228,CUST003202,credit_card,3396.23
ACC0000229,CUST000753,credit_card,5972.5
ACC0000230,CUST004595,checking,3584.32
ACC0000231,CUST001425,checking,2223.05
ACC0000232,CUST003738,savings,3403.27
ACC0000233,CUST002808,savings,869.26
ACC0000234,CUST004398,savings,528.92
ACC0000235,CUST003732,checking,1271.05
ACC0000236,CUST003795,checking,2656.15
ACC0000237,CUST002682,checking,881.75
ACC0000238,CUST002152,savings,2132.99
ACC0000239,CUST000484,savings,2351.94
ACC0000240,CUST004768,checking,3984.42
ACC0000241,CUST002761,checking,2542.43
ACC0000242,CUST003036,checking,5136.22
ACC0000243,CUST004516,checking,1770.34
ACC0000244,CUST002267,savings,5170.0
ACC0000245,CUST000210,checking,1283.55
ACC0000246,CUST003393,savings,10751.54
ACC0000247,CUST000866,credit_card,6950.85
ACC0000248,CUST003768,checking,10121.63
ACC0000249,CUST003397,checking,5079.28
ACC0000250,CUST002857,credit_card,1875.99
ACC0000251,CUST002089,checking,7602.0
ACC0000252,CUST002417,credit_card,2536.82
ACC0000253,CUST000936,savings,473.67
ACC0000254,CUST004570,savings,2249.91
ACC0000255,CUST001336,credit_card,8636.6
ACC0000256,CUST002540,checking,1713.31
ACC0000257,CUST000440,savings,849.91
ACC0000258,CUST002691,savings,9247.05
ACC0000259,CUST004573,checking,2273.55
ACC0000260,CUST004684,credit_card,1592.31
ACC0000261,CUST002882,checking,1190.24
ACC0000262,CUST004806,checking,11564.2
ACC0000263,CUST000319,checking,1937.55
ACC0000264,CUST003260,savings,22270.63
ACC0000265,CUST003957,checking,1170.0
ACC0000266,CUST002142,savings,29445.61
ACC0000267,CUST002502,savings,3421.97
ACC0000268,CUST000724,checking,2839.38
ACC0000269,CUST002392,checking,6149.25
ACC0000270,CUST000498,savings,14177.52
ACC0000271,CUST004307,savings,1219.24
ACC0000272,CUST001522,savings,740.81
ACC0000273,CUST001335,checking,5022.08
ACC0000274,CUST000050,checking,2793.54
ACC0000275,CUST000190,checking,6725.16
ACC0000276,CUST004241,checking,1629.98
ACC0000277,CUST001856,checking,4954.36
ACC0000278,CUST001119,checking,415.85
ACC0000279,CUST004920,savings,2573.93
ACC0000280,CUST000798,savings,1692.15
ACC0000281,CUST000502,checking,25428.7
ACC0000282,CUST002461,checking,4607.73
ACC0000283,CUST000102,checking,5054.75
ACC0000284,CUST003197,savings,3882.95
ACC0000285,CUST000755,checking,4863.39
ACC0000286,CUST000202,savings,5499.56
ACC0000287,CUST004493,savings,5519.2
ACC0000288,CUST000637,savings,807.88
ACC0000289,CUST002416,savings,1654.55
ACC0000290,CUST004800,checking,1393.71
ACC0000291,CUST004853,savings,5422.18
ACC0000292,CUST003051,savings,26424.37
ACC0000293,CUST004285,credit_card,4462.95
ACC0000294,CUST004665,checking,762.01
ACC0000295,CUST003336,savings,1167.02
ACC0000296,CUST001055,checking,8286.59
ACC0000297,CUST001516,checking,5296.84
ACC0000298,CUST004002,credit_card,868.78
ACC0000299,CUST004795,checking,11037.65
ACC0000300,CUST000732,credit_card,1695.28
ACC0000301,CUST004377,checking,2169.33
ACC0000302,CUST003105,checking,2068.38
ACC0000303,CUST001422,savings,374.03
ACC0000304,CUST004022,checking,11756.24
ACC0000305,CUST000258,savings,1987.09
ACC0000306,CUST000841,checking,4509.15
ACC0000307,CUST003560,credit_card,765.37
ACC0000308,CUST000456,checking,8314.17
ACC0000309,CUST003959,credit_card,38014.2
ACC0000310,CUST003233,savings,297.74
ACC0000311,CUST002980,checking,487.56
ACC0000312,CUST002396,credit_card,2929.2
ACC0000313,CUST001795,savings,1106.06
ACC0000314,CUST002691,checking,12388.08
ACC0000315,CUST004972,checking,563.4
ACC0000316,CUST003470,checking,10661.73
ACC0000317,CUST003893,checking,6072.12
ACC0000318,CUST004236,checking,843.48
ACC0000319,CUST003963,checking,1845.51
ACC0000320,CUST003186,savings,2987.9
ACC0000321,CUST004331,credit_card,14104.92
ACC0000322,CUST004156,checking,8754.59
ACC0000323,CUST001730,checking,2736.18
ACC0000324,CUST004869,checking,3290.87
ACC0000325,CUST000916,checking,2092.72
ACC0000326,CUST004945,savings,6619.8
ACC0000327,CUST000052,savings,22806.75
ACC0000328,CUST001964,savings,2504.7
ACC0000329,CUST003654,checking,1092.11
ACC0000330,CUST001209,checking,1690.64
ACC0000331,CUST001094,checking,4146.22
ACC0000332,CUST004314,checking,1113.13
ACC0000333,CUST004581,savings,1589.39
ACC0000334,CUST001652,savings,36654.19
ACC0000335,CUST001420,checking,966.75
ACC0000336,CUST004032,savings,12347.55
ACC0000337,CUST003540,checking,2818.57
ACC0000338,CUST001009,checking,3727.54
ACC0000339,CUST000836,savings,4995.08
ACC0000340,CUST000875,savings,5319.55
ACC0000341,CUST000445,checking,2653.61
ACC0000342,CUST002170,checking,2132.14
ACC0000343,CUST004588,checking,3831.72
ACC0000344,CUST001959,checking,3408.07
ACC0000345,CUST001095,checking,1214.74
ACC0000346,CUST000408,credit_card,5520.49
ACC0000347,CUST003885,savings,1975.45
ACC0000348,CUST004793,checking,1650.81
ACC0000349,CUST000823,savings,986.5
ACC0000350,CUST001621,checking,403.81
ACC0000351,CUST001575,checking,182.38
ACC0000352,CUST000579,checking,515.02
ACC0000353,CUST001068,checking,4118.1
ACC0000354,CUST001235,checking,3907.91
ACC0000355,CUST002059,checking,6383.03
ACC0000356,CUST000366,savings,665.09
ACC0000357,CUST004082,checking,3930.88
ACC0000358,CUST002806,checking,5700.89
ACC0000359,CUST003476,checking,745.44
ACC0000360,CUST003970,checking,1821.18
ACC0000361,CUST000097,credit_card,6995.54
ACC0000362,CUST003351,checking,793.51
ACC0000363,CUST000852,checking,1935.69
ACC0000364,CUST001997,checking,762.38
ACC0000365,CUST004736,credit_card,665.04
ACC0000366,CUST003924,checking,1586.21
ACC0000367,CUST004979,savings,226.94
ACC0000368,CUST002100,savings,1268.95
ACC0000369,CUST003020,checking,950.26
ACC0000370,CUST000035,savings,6525.55
ACC0000371,CUST001986,checking,3663.93
ACC0000372,CUST002038,savings,170.43
ACC0000373,CUST004439,savings,5724.44
ACC0000374,CUST000580,checking,7166.06
ACC0000375,CUST001036,savings,564.69
ACC0000376,CUST000738,checking,3895.57
ACC0000377,CUST002093,savings,655.46
ACC0000378,CUST000710,savings,10215.02
ACC0000379,CUST002700,checking,4169.27
ACC0000380,CUST001497,checking,2585.61
ACC0000381,CUST002575,checking,2296.6
ACC0000382,CUST001651,checking,852.27
ACC0000383,CUST004655,savings,1103.49
ACC0000384,CUST002904,checking,2888.58
ACC0000385,CUST001924,savings,435.09
ACC0000386,CUST004671,credit_card,1285.84
ACC0000387,CUST001841,credit_card,4546.27
ACC0000388,CUST002939,savings,1616.19
ACC0000389,CUST003913,savings,1163.9
ACC0000390,CUST004218,checking,1331.97
ACC0000391,CUST004239,checking,3879.95
ACC0000392,CUST004893,credit_card,2256.96
ACC0000393,CUST000737,checking,7778.13
ACC0000394,CUST002635,checking,9354.0
ACC0000395,CUST003994,checking,862.45
ACC0000396,CUST000512,checking,1625.1
ACC0000397,CUST003649,checking,1428.11
ACC0000398,CUST000245,savings,1444.97
ACC0000399,CUST003963,credit_card,4705.63
ACC0000400,CUST004216,checking,1238.44
ACC0000401,CUST003670,checking,358.15
ACC0000402,CUST003166,checking,1080.28
ACC0000403,CUST001740,credit_card,29017.33
ACC0000404,CUST002470,credit_card,8632.61
ACC0000405,CUST003473,checking,468.75
ACC0000406,CUST003650,checking,20573.34
ACC0000407,CUST000523,credit_card,9150.66
ACC0000408,CUST000016,credit_card,1396.77
ACC0000409,CUST004456,savings,2160.96
ACC0000410,CUST004272,checking,21307.44
ACC0000411,CUST001998,checking,2500.89
ACC0000412,CUST003605,savings,3587.19
ACC0000413,CUST001404,checking,2993.71
ACC0000414,CUST002700,checking,3760.66
ACC0000415,CUST002235,savings,398.98
ACC0000416,CUST003408,checking,6491.22
ACC0000417,CUST003002,checking,4857.47
ACC0000418,CUST002968,savings,827.54
ACC0000419,CUST003790,credit_card,4245.74
ACC0000420,CUST002230,savings,18798.55
ACC0000421,CUST000351,checking,1107.01
ACC0000422,CUST002495,checking,2550.04
ACC0000423,CUST000751,checking,4834.25
ACC0000424,CUST000033,checking,3968.29
ACC0000425,CUST000794,credit_card,248.02
ACC0000426,CUST003277,savings,7392.76
ACC0000427,CUST003594,checking,19907.19
ACC0000428,CUST004916,checking,880.77
ACC0000429,CUST001339,savings,5360.39
ACC0000430,CUST002176,checking,8871.38
ACC0000431,CUST001251,credit_card,7049.98
ACC0000432,CUST000635,checking,1707.04
ACC0000433,CUST000378,credit_card,1336.4
ACC0000434,CUST003185,credit_card,1074.39
ACC0000435,CUST003259,savings,4486.54
ACC0000436,CUST002215,checking,7994.37
ACC0000437,CUST001292,checking,3364.4
ACC0000438,CUST000826,checking,13856.63
ACC0000439,CUST004292,savings,1308.43
ACC0000440,CUST002350,checking,11005.44
ACC0000441,CUST003507,savings,3285.69
ACC0000442,CUST000729,checking,3566.01
ACC0000443,CUST004358,savings,4535.23
ACC0000444,CUST004097,credit_card,1742.72
ACC0000445,CUST000159,savings,1247.55
ACC0000446,CUST002418,savings,2037.27
ACC0000447,CUST001789,checking,28257.12
ACC0000448,CUST003764,savings,7866.07
ACC0000449,CUST004471,credit_card,3076.09
ACC0000450,CUST000596,checking,1427.39
ACC0000451,CUST000045,checking,6915.3
ACC0000452,CUST000421,savings,11363.4
ACC0000453,CUST001105,savings,390.24
ACC0000454,CUST004248,checking,3315.99
ACC0000455,CUST001761,credit_card,1199.14
ACC0000456,CUST002176,credit_card,1795.28
ACC0000457,CUST001487,checking,10028.01
ACC0000458,CUST003878,checking,7083.0
ACC0000459,CUST004626,checking,7910.72
ACC0000460,CUST000495,checking,1849.02
ACC0000461,CUST001529,checking,1532.77
ACC0000462,CUST001184,savings,2808.51
ACC0000463,CUST001646,savings,2179.12
ACC0000464,CUST004553,checking,13459.37
ACC0000465,CUST001821,savings,8578.61
ACC0000466,CUST000582,checking,18459.04
ACC0000467,CUST002027,checking,4916.83
ACC0000468,CUST002689,savings,2130.75
ACC0000469,CUST001316,savings,1685.42
ACC0000470,CUST001389,checking,1587.11
ACC0000471,CUST001691,checking,3716.29
ACC0000472,CUST001505,savings,1724.77
ACC0000473,CUST001734,checking,2029.8
ACC0000474,CUST000249,checking,3499.75
ACC0000475,CUST004471,checking,24599.68
ACC0000476,CUST003401,checking,6166.55
ACC0000477,CUST004942,checking,2806.18
ACC0000478,CUST000241,savings,3664.41
ACC0000479,CUST000050,credit_card,1079.62
ACC0000480,CUST001680,checking,821.51
ACC0000481,CUST002384,checking,863.42
ACC0000482,CUST002675,credit_card,7739.85
ACC0000483,CUST002825,credit_card,1153.8
ACC0000484,CUST004863,savings,4218.54
ACC0000485,CUST004750,checking,1464.42
ACC0000486,CUST004262,checking,7438.75
ACC0000487,CUST002598,checking,5181.09
ACC0000488,CUST002434,savings,1112.28
ACC0000489,CUST004162,checking,1485.88
ACC0000490,CUST004070,savings,3818.75
ACC0000491,CUST004477,credit_card,1514.68
ACC0000492,CUST001741,checking,1492.31
ACC0000493,CUST004348,checking,1010.71
ACC0000494,CUST000167,savings,13557.01
ACC0000495,CUST003835,checking,383.41
ACC0000496,CUST001035,credit_card,2744.93
ACC0000497,CUST000098,checking,800.81
ACC0000498,CUST000283,checking,1607.0
ACC0000499,CUST000381,checking,673.63
ACC0000500,CUST001610,savings,6138.31
ACC0000501,CUST003111,savings,8962.14
ACC0000502,CUST002661,savings,2745.35
ACC0000503,CUST000347,checking,4731.18
ACC0000504,CUST001723,savings,2710.42
ACC0000505,CUST001655,savings,1107.61
ACC0000506,CUST002637,checking,2938.49
ACC0000507,CUST001973,savings,5050.13
ACC0000508,CUST002537,checking,697.76
ACC0000509,CUST001974,credit_card,286.11
ACC0000510,CUST001307,savings,4026.63
ACC0000511,CUST001003,checking,7411.78
ACC0000512,CUST004262,checking,1495.46
ACC0000513,CUST002978,savings,274.03
ACC0000514,CUST002046,credit_card,2258.84
ACC0000515,CUST001147,checking,246.04
ACC0000516,CUST001019,checking,3078.09
ACC0000517,CUST003277,credit_card,1269.27
ACC0000518,CUST002785,checking,2065.36
ACC0000519,CUST001424,checking,36362.57
ACC0000520,CUST002943,checking,564.53
ACC0000521,CUST002115,savings,1966.23
ACC0000522,CUST003003,credit_card,301.96
ACC0000523,CUST002968,savings,1350.86
ACC0000524,CUST003605,checking,553.21
ACC0000525,CUST004210,checking,4678.09
ACC0000526,CUST002092,savings,277.24
ACC0000527,CUST004374,checking,2077.18
ACC0000528,CUST000894,credit_card,2214.64
ACC0000529,CUST002204,savings,26358.47
ACC0000530,CUST004662,checking,1713.92
ACC0000531,CUST004171,savings,1049.25
ACC0000532,CUST003241,checking,2218.05
ACC0000533,CUST003720,savings,12136.98
ACC0000534,CUST000657,savings,645.13
ACC0000535,CUST004108,savings,3127.73
ACC0000536,CUST001019,savings,4577.93
ACC0000537,CUST000674,checking,4065.1
ACC0000538,CUST002032,checking,2019.47
ACC0000539,CUST004601,checking,1295.71
ACC0000540,CUST003023,checking,607.96
ACC0000541,CUST001465,checking,1134.43
ACC0000542,CUST004938,checking,7154.18
ACC0000543,CUST004689,checking,15494.11
ACC0000544,CUST001198,checking,5050.45
ACC0000545,CUST003433,savings,1673.89
ACC0000546,CUST003548,savings,2082.82
ACC0000547,CUST003557,credit_card,7709.0
ACC0000548,CUST004649,savings,3853.92
ACC0000549,CUST002186,checking,3390.89
ACC0000550,CUST001926,checking,3186.06
ACC0000551,CUST000723,checking,1290.11
ACC0000552,CUST003534,checking,263.62
ACC0000553,CUST003364,savings,3164.65
ACC0000554,CUST000794,savings,1657.46
ACC0000555,CUST004553,credit_card,15796.94
ACC0000556,CUST002096,checking,3567.68
ACC0000557,CUST000633,checking,2819.75
ACC0000558,CUST001478,checking,2141.73
ACC0000559,CUST001496,checking,2962.24
ACC0000560,CUST001886,savings,1006.63
ACC0000561,CUST001963,checking,2139.13
ACC0000562,CUST001435,savings,3462.4
ACC0000563,CUST003885,credit_card,4361.36
ACC0000564,CUST003900,credit_card,12273.75
ACC0000565,CUST002530,savings,5333.14
ACC0000566,CUST002819,checking,2409.15
ACC0000567,CUST003158,checking,8942.53
ACC0000568,CUST003987,savings,2108.35
ACC0000569,CUST000454,checking,2190.81
ACC0000570,CUST001845,checking,4130.4
ACC0000571,CUST000466,checking,1358.12
ACC0000572,CUST001656,savings,8634.12
ACC0000573,CUST003204,checking,1549.2
ACC0000574,CUST001625,checking,2976.91
ACC0000575,CUST003049,credit_card,1972.61
ACC0000576,CUST001222,checking,9787.76
ACC0000577,CUST000568,checking,3574.82
ACC0000578,CUST003528,checking,2781.58
ACC0000579,CUST004675,checking,20654.33
ACC0000580,CUST004427,checking,8505.64
ACC0000581,CUST000161,savings,1627.24
ACC0000582,CUST000902,checking,4424.76
ACC0000583,CUST002891,checking,1006.49
ACC0000584,CUST000185,savings,1970.16
ACC0000585,CUST002561,credit_card,895.92
ACC0000586,CUST000289,checking,1522.82
ACC0000587,CUST004354,checking,990.66
ACC0000588,CUST000214,savings,2733.85
ACC0000589,CUST003346,credit_card,7404.46
ACC0000590,CUST002447,savings,1847.39
ACC0000591,CUST002696,credit_card,4230.8
ACC0000592,CUST003840,savings,2240.02
ACC0000593,CUST002186,credit_card,6708.85
ACC0000594,CUST001708,savings,2840.21
ACC0000595,CUST001756,credit_card,11480.74
ACC0000596,CUST002020,savings,872.62
ACC0000597,CUST001408,checking,6302.38
ACC0000598,CUST004464,savings,2162.77
ACC0000599,CUST003392,credit_card,2902.54
ACC0000600,CUST004586,checking,1544.93
ACC0000601,CUST001157,checking,1147.74
ACC0000602,CUST000425,checking,3509.02
ACC0000603,CUST004866,credit_card,9503.93
ACC0000604,CUST001263,credit_card,5909.28
ACC0000605,CUST002265,savings,1856.24
ACC0000606,CUST004922,credit_card,2684.76
ACC0000607,CUST003929,checking,1169.86
ACC0000608,CUST003981,savings,1644.68
ACC0000609,CUST003283,checking,2625.03
ACC0000610,CUST004544,checking,5004.65
ACC0000611,CUST001042,savings,2316.76
ACC0000612,CUST004019,checking,1371.87
ACC0000613,CUST003102,credit_card,4381.94
ACC0000614,CUST002089,savings,4561.07
ACC0000615,CUST000928,checking,1501.7
ACC0000616,CUST002628,checking,1320.57
ACC0000617,CUST000544,checking,7946.52
ACC0000618,CUST003517,checking,2268.98
ACC0000619,CUST003435,savings,3118.5
ACC0000620,CUST003510,savings,2113.18
ACC0000621,CUST000037,savings,1591.39
ACC0000622,CUST002805,savings,4522.22
ACC0000623,CUST004650,checking,2763.85
ACC0000624,CUST000038,savings,4835.71
ACC0000625,CUST004290,checking,827.02
ACC0000626,CUST004846,savings,571.31
ACC0000627,CUST001679,checking,2639.73
ACC0000628,CUST001728,savings,9907.9
ACC0000629,CUST004911,checking,2572.97
ACC0000630,CUST000266,checking,2300.88
ACC0000631,CUST003345,checking,1683.15
ACC0000632,CUST003191,checking,2095.17
ACC0000633,CUST003987,savings,7382.03
ACC0000634,CUST002765,checking,1886.8
ACC0000635,CUST001202,checking,4697.13
ACC0000636,CUST003034,savings,1415.9
ACC0000637,CUST002858,checking,1600.1
ACC0000638,CUST003943,checking,4236.63
ACC0000639,CUST000812,savings,1782.39
ACC0000640,CUST000508,checking,2971.49
ACC0000641,CUST000825,checking,1653.04
ACC0000642,CUST004552,savings,1455.64
ACC0000643,CUST004257,checking,1736.38
ACC0000644,CUST003717,checking,967.64
ACC0000645,CUST000670,savings,1333.34
ACC0000646,CUST001209,checking,1236.97
ACC0000647,CUST000833,checking,1800.64
ACC0000648,CUST002885,checking,1748.18
ACC0000649,CUST000707,checking,1103.86
ACC0000650,CUST004565,checking,1228.18
ACC0000651,CUST002145,checking,9640.57
ACC0000652,CUST002139,savings,2510.24
ACC0000653,CUST001817,checking,3125.01
ACC0000654,CUST003484,checking,4025.47
ACC0000655,CUST004582,checking,782.71
ACC0000656,CUST003679,savings,2358.88
ACC0000657,CUST000367,checking,44367.04
ACC0000658,CUST004132,savings,766.87
ACC0000659,CUST000599,credit_card,840.37
ACC0000660,CUST002425,checking,1757.75
