missed_fraud_cost,review_cost,false_decline_cost,strategy,total_cost
750,5,25,Baseline,157315
750,5,25,Amount Emphasis,129305
750,5,25,Balanced Higher Capture,129025
750,5,25,Balanced Conservative,405530
750,5,25,High Capture,238745
750,5,50,Baseline,157315
750,5,50,Amount Emphasis,129305
750,5,50,Balanced Higher Capture,129025
750,5,50,Balanced Conservative,405530
750,5,50,High Capture,238745
750,5,100,Baseline,157315
750,5,100,Amount Emphasis,129305
750,5,100,Balanced Higher Capture,129025
750,5,100,Balanced Conservative,405530
750,5,100,High Capture,238745
750,10,10,Baseline,178130
750,10,10,Amount Emphasis,152110
750,10,10,Balanced Higher Capture,151550
750,10,10,Balanced Conservative,406060
750,10,10,High Capture,446740
750,10,25,Baseline,178130
750,10,25,Amount Emphasis,152110
750,10,25,Balanced Higher Capture,151550
750,10,25,Balanced Conservative,406060
750,10,25,High Capture,446740
750,10,50,Baseline,178130
750,10,50,Amount Emphasis,152110
750,10,50,Balanced Higher Capture,151550
750,10,50,Balanced Conservative,406060
750,10,50,High Capture,446740
750,10,100,Baseline,178130
750,10,100,Amount Emphasis,152110
750,10,100,Balanced Higher Capture,151550
750,10,100,Balanced Conservative,406060
750,10,100,High Capture,446740
750,20,10,Baseline,219760
750,20,10,Amount Emphasis,197720
750,20,10,Balanced Higher Capture,196600
750,20,10,Balanced Conservative,407120
750,20,10,High Capture,862730
750,20,25,Baseline,219760
750,20,25,Amount Emphasis,197720
750,20,25,Balanced Higher Capture,196600
750,20,25,Balanced Conservative,407120
750,20,25,High Capture,862730
750,20,50,Baseline,219760
750,20,50,Amount Emphasis,197720
750,20,50,Balanced Higher Capture,196600
750,20,50,Balanced Conservative,407120
750,20,50,High Capture,862730
750,20,100,Baseline,219760
750,20,100,Amount Emphasis,197720
750,20,100,Balanced Higher Capture,196600
750,20,100,Balanced Conservative,407120
750,20,100,High Capture,862730
1000,2,10,Baseline,190326
1000,2,10,Amount Emphasis,151122
1000,2,10,Balanced Higher Capture,151010
1000,2,10,Balanced Conservative,540212
1000,2,10,High Capture,124198
1000,2,25,Baseline,190326
1000,2,25,Amount Emphasis,151122
1000,2,25,Balanced Higher Capture,151010
1000,2,25,Balanced Conservative,540212
1000,2,25,High Capture,124198
1000,2,50,Baseline,190326
1000,2,50,Amount Emphasis,151122
1000,2,50,Balanced Higher Capture,151010
1000,2,50,Balanced Conservative,540212
1000,2,50,High Capture,124198
1000,2,100,Baseline,190326
1000,2,100,Amount Emphasis,151122
1000,2,100,Balanced Higher Capture,151010
1000,2,100,Balanced Conservative,540212
1000,2,100,High Capture,124198
1000,5,10,Baseline,202815
1000,5,10,Amount Emphasis,164805
1000,5,10,Balanced Higher Capture,164525
1000,5,10,Balanced Conservative,540530
1000,5,10,High Capture,248995
1000,5,25,Baseline,202815
1000,5,25,Amount Emphasis,164805
1000,5,25,Balanced Higher Capture,164525
1000,5,25,Balanced Conservative,540530
1000,5,25,High Capture,248995
1000,5,50,Baseline,202815
1000,5,50,Amount Emphasis,164805
1000,5,50,Balanced Higher Capture,164525
1000,5,50,Balanced Conservative,540530
1000,5,50,High Capture,248995
1000,5,100,Baseline,202815
1000,5,100,Amount Emphasis,164805
1000,5,100,Balanced Higher Capture,164525
1000,5,100,Balanced Conservative,540530
1000,5,100,High Capture,248995
1000,10,10,Baseline,223630
1000,10,10,Amount Emphasis,187610
1000,10,10,Balanced Higher Capture,187050
1000,10,10,Balanced Conservative,541060
1000,10,10,High Capture,456990
1000,10,25,Baseline,223630
1000,10,25,Amount Emphasis,187610
1000,10,25,Balanced Higher Capture,187050
1000,10,25,Balanced Conservative,541060
1000,10,25,High Capture,456990
1000,10,50,Baseline,223630
1000,10,50,Amount Emphasis,187610
1000,10,50,Balanced Higher Capture,187050
1000,10,50,Balanced Conservative,541060
1000,10,50,High Capture,456990
1000,10,100,Baseline,223630
1000,10,100,Amount Emphasis,187610
1000,10,100,Balanced Higher Capture,187050
1000,10,100,Balanced Conservative,541060
1000,10,100,High Capture,456990
1000,20,10,Baseline,265260
1000,20,10,Amount Emphasis,233220
1000,20,10,Balanced Higher Capture,232100
1000,20,10,Balanced Conservative,542120
1000,20,10,High Capture,872980
1000,20,25,Baseline,265260
1000,20,25,Amount Emphasis,233220
1000,20,25,Balanced Higher Capture,232100
1000,20,25,Balanced Conservative,542120
1000,20,25,High Capture,872980
1000,20,50,Baseline,265260
1000,20,50,Amount Emphasis,233220
1000,20,50,Balanced Higher Capture,232100
1000,20,50,Balanced Conservative,542120
1000,20,50,High Capture,872980
1000,20,100,Baseline,265260
1000,20,100,Amount Emphasis,233220
1000,20,100,Balanced Higher Capture,232100
1000,20,100,Balanced Conservative,542120
1000,20,100,High Capture,872980
